Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
CON-2: Track Length Cap,KAN-195,10406,Story,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Constraints,Generated tracks capped at 5m (Free) or 10m (Premium).,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0019b:,,,,To Do,26/Feb/26 10:15 AM
CON-1: Lossless Audio Export,KAN-194,10405,Story,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Constraints,"Must output in MP3 (320kbps), WAV (44.1kHz), and FLAC.",,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00193:,,,,To Do,26/Feb/26 10:15 AM
NFR-7.3: Plugin-free Frontend,KAN-193,10404,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Portability,Frontend SHALL function on major browsers without plugins.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0018v:,,,,To Do,26/Feb/26 10:15 AM
NFR-7.2: Cloud Independence,KAN-192,10403,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Portability,"The system SHALL be deployable on AWS, GCP, or Azure.",,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0018n:,,,,To Do,26/Feb/26 10:15 AM
NFR-7.1: Docker Containerization,KAN-191,10402,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Portability,The application SHALL be containerized using Docker.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0018f:,,,,To Do,26/Feb/26 10:15 AM
NFR-6.5: Infrastructure as Code,KAN-190,10401,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Infrastructure,Infrastructure SHALL be defined as code (Terraform/Pulumi).,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00187:,,,,To Do,26/Feb/26 10:15 AM
NFR-6.4: Structured JSON Logging,KAN-189,10400,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Maintainability,Use structured logging with correlation IDs for tracing.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0017z:,,,,To Do,26/Feb/26 10:15 AM
NFR-6.3: API Versioning Support,KAN-188,10399,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Maintainability,"All APIs SHALL be versioned (e.g., /api/v1/).",,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0017r:,,,,To Do,26/Feb/26 10:15 AM
NFR-6.2: CI/CD Pipeline Automation,KAN-187,10398,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Infrastructure,The system SHALL use CI/CD pipelines for testing/deployment.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0017j:,,,,To Do,26/Feb/26 10:15 AM
NFR-6.1: Unit Test Coverage (80%),KAN-186,10397,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Maintainability,Codebase SHALL maintain min 80% unit test coverage.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0017b:,,,,To Do,26/Feb/26 10:15 AM
NFR-5.4: Global Asset CDN,KAN-185,10396,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Scalability,Static assets SHALL be served via globally distributed CDN.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00173:,,,,To Do,26/Feb/26 10:15 AM
NFR-5.3: Database Read Replicas,KAN-184,10395,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Scalability,The database layer SHALL support read replicas.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0016v:,,,,To Do,26/Feb/26 10:15 AM
NFR-5.2: GPU Auto-scaling,KAN-183,10394,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Scalability,GPU resources SHALL auto-scale based on queue depth.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0016n:,,,,To Do,26/Feb/26 10:15 AM
NFR-5.1: Horizontal Scaling,KAN-182,10393,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Scalability,The architecture SHALL support horizontal scaling of all services.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0016f:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.7: RTO Target,KAN-181,10392,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Reliability,Recovery Time Objective (RTO) SHALL be <= 1 hour.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00167:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.6: RPO Target,KAN-180,10391,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Reliability,Recovery Point Objective (RPO) SHALL be <= 6 hours.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0015z:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.5: 6h Database Backup,KAN-179,10390,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Reliability,The system SHALL perform automated backups every 6 hours.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0015r:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.4: Geo-Redundant Storage,KAN-178,10389,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Availability,Audio files SHALL be stored with 3x redundancy across regions.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0015j:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.3: Automatic Failover,KAN-177,10388,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Availability,The system SHALL implement automatic failover for critical services.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0015b:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.2: Maintenance Window Window,KAN-176,10387,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Low,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Availability,Maintenance SHALL occur during off-peak with 48h notice.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00153:,,,,To Do,26/Feb/26 10:15 AM
NFR-4.1: Three-Nines Availability,KAN-175,10386,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Availability,The system SHALL maintain 99.9% uptime.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0014v:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.10: Penetration Testing,KAN-174,10385,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,System SHALL undergo annual third-party penetration testing.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0014n:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.9: Security Audit Logging,KAN-173,10384,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,Maintain security audit logs for all administrative actions.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0014f:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.8: AES-256 Encryption,KAN-172,10383,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,All sensitive data SHALL be encrypted at rest (AES-256).,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00147:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.7: RBAC Implementation,KAN-171,10382,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,"System SHALL implement User, Premium, Admin, SuperAdmin roles.",,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0013z:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.6: Malware Upload Scan,KAN-170,10381,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,File uploads SHALL be validated and scanned for malware.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0013r:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.5: Auth Rate Limiting,KAN-169,10380,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,Implement rate limiting on auth endpoints (10 req/min/IP).,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0013j:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.4: CSRF Protection,KAN-168,10379,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,The system SHALL implement CSRF protection on state-changing endpoints.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0013b:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.3: API Key Hashing,KAN-167,10378,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,API keys SHALL be hashed; only a prefix SHALL be displayed.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i00133:,,,,To Do,26/Feb/26 10:15 AM
NFR-3.1: Bcrypt Password Hashing,KAN-166,10377,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Security,All passwords SHALL be hashed using bcrypt (cost factor 12).,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0012v:,,,,To Do,26/Feb/26 10:15 AM
NFR-2.3: Community Report Tool,KAN-165,10376,Story,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,Medium,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Safety,The system SHALL provide a 'Report' mechanism for moderation.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0012n:,,,,To Do,26/Feb/26 10:15 AM
NFR-2.2: AI Content Verification,KAN-164,10375,Bug,To Do,KAN,AuraBeat,software,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,Your first project,High,,,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,26/Feb/26 10:15 AM,26/Feb/26 10:15 AM,,,,0,Safety,The system SHALL implement an AI content filter on input and output.,,TALHA NAVEED,712020:3294f30c-b5aa-49b0-8703-b095bf87826c,,,,,,,,,,,0|i0012f:,,,,To Do,26/Feb/26 10:15 AM
